ID,English,Kashmiri
467,Many problems arise due to lack of proper co-ordination.,صٔحی اِتحاد نَہ آسنہٕ کِنۍ چھِ واریاہ مسلہٕ پٲدٕ گَژھان
468,My right arm is aching from past two months.,مےٚ چھےٚ دٔچھنہِ نَرِ پٔتمٮ۪و دۄیَو رٮ۪تَو پٮ۪ٹھٕ دَگ
469,The northern arm of the lake is quite deep.,جیٖلُک کھووُر انٛد چُھ سٮ۪ٹھا سرٛوٚن
471,They wore their armor and started for the battlefield.,تِمَو لٲگۍ پَنٕنۍ زِرَہ بَکتَر تہٕ گٔیہِ مٲدانہِ جنٛگس کُن رَوانہٕ
473,They sat off with their armours to invade state.,رِیاستس پٮ۪ٹھ حملہٕ کَرنہٕ خٲطرٕ بیٖٹھ تِم پَنٕنۍ ۂتھیار ہٮ۪تھ
476,Books were left around on the floor.,کِتابہٕ آسہٕ پٔتھرِس اورٕ یورٕ چٔھکرِتھ
477,"There are around 20,000 people inside the stadium today.",لگ بَگ چھِ اَز سٔٹیڑیَمس منٛز وُہ ساس لُکھ
478,The children were running around in the garden.,شُرۍ ٲسۍ باغس أنٛدۍ أنٛدۍ نَژان
479,The cost of the trip was around 5000 rupees.,تقریٖبَن اوس سفرُک خرچہٕ پانٛژ ساس رۄپیہِ
480,He looked around before seating himself.,تٔمۍ دِژ پَتھر بٮ۪ہنہٕ برٛونٛہہ ژۄپٲرۍ نَظر
481,There were insects scampering around.,کیٚمۍ ٲسۍ أنٛدی پٔکۍ نَژان
482,Several people were sitting around the joker,سٮ۪ٹھا لُکھ ٲسۍ جوکرَس أندۍ پٔکۍ بِہِتھ
484,There is no one around here.,ییٚتہِ چُھ نہٕ أنٛدۍ پٔکۍ کانٛہہ تہِ
486,A large number of people were walking around the place.,سٮ۪ٹھا لُکھ ٲسۍ یَتھ جایہِ اورٕ یور پَکان
487,He had tied a cloth around his back.,تٔمۍ ٲس کمرَس انٛدٕ ونٛدٕ دٔج گٔنٛڑمٕژ
488,I saw him around the garden in the afternoon.,مےٚ وُچھ سُہ دُپہارَس باغس أنٛدۍ پٔکۍ
489,I walked around the building.,بہٕ پوٚکُس عٮ۪مارتہِ أنٛدۍ أنٛدۍ
490,The prince was aroused by the sound of trumpet.,شہزادٕ گوٚو ۂسۍ سٕنٛزِ آوازِ سۭتۍ ہُشارٕ
491,We must arouse them to fight with enemies,اسہِ پزِ سُہ دُشمنن سۭتۍ لڑنہٕ خٲطرٕ تیار کرُن۔
492,A girl in red always aroused him.,وۄزُل لِباس لاگن واجنہِ کوٗر چھےٚ تٔمِس ہمیشہٕ دِل تمبٕلاوان
493,They have arranged a dinner in her honour.,تٔمۍ سٕنٛدِس اعزازَس منٛز چُھ تِمو شام کہِ بَتُک اِنٛتِظام کوٚرمُت
494,She was arranging flowers in a vase.,سۄ چھےٚ گُل دانَس منٛز پوس ترتیٖب سان تھاوان
495,The dinner arrangements were quite good.,شام کہِ بَتُک اِنٛتِظام اوس واریاہ اَصٕل
496,She won the first prize for her flower arrangement.,تٔمِس میٛول پوشَن ہِنٛدِ سَجاوٹہٕ خٲطرٕ گۄڈنیُک انعام
498,The police arrested the thief.,پُلسَن کوٚر ژوٗر گِرِفتار
499,Timely action arrested the falling share prices.,با وقتٕچہِ عملہِ کوٚر شِیَرَن ہِنٛدٮ۪ن وسوٕنٮ۪ن قۭمتَن روک تھام
500,Her musical voice immediately arrested my attention.,تٔمۍ سٕنٛزِ موسیٖقی ہِنٛزِ آوازِ کوٚرنَس بہٕ پانَس کُن مٲیِل
501,Many arrests were made in connection to this case.,یَتھ معاملَس منٛز آیہِ واریاہ گِرِفتٲریہِ کرنہٕ
502,He suffered a cardiac arrest.,تٔمِس آو دِلُک دورٕ
503,We anxiously waited for her arrival.,أسۍ ٲسۍ بےٚ صبری سان تٔمۍ سٕنٛدِس یِنَس پیٛاران
504,We are going to have a new arrival in our family.,سٲنِس خانٛدانس منٛز چُھ اکھ نوٚو نفر یِنہٕ وول۔
505,The train arrived quite late.,ٹرٛین وٲژ سٮ۪ٹھا ژیٖر
506,The car has arrived to drive you to the airport.,تۄہہِ ہَوٲیی اَڈَس تانۍ واتناونہٕ خٲطرٕ واژ گٲڑۍ
508,He graduated from an arts college.,تٔمۍ کٔر آرٹس کالجس منٛز گرٛیجویشن۔
510,One of his artery was blocked.,تٔمِس اوس أکِس رَگہِ تھوٚپ
511,The shop at the corner of the street keeps all articles of daily needs.,گٔلی ہِنٛدِس کوٗنس پٮ۪ٹھ یُس دُکان چُھ سُہ چُھ ضٔروٗرِیاتہِ زِنٛدگی ہِنٛدۍ سٲری چیٖز کٕنان
512,Article 51 of Section iii of the Indian Constitution refers to the Fundamental Rights.,ہِنٛدُستانکہِ ٲیِنُک دَفعہ ۵۱ چُھ بُنیٲدی حٔقوٗقن ہُنٛد حوالہٕ دِوان
513,I completed the article on Snow last night.,پٔتمہِ رٲژ کوٚر مےٚ شیٖنَس پٮ۪ٹھ اَکھ مضموٗن مُکمل
514,We can put artificial flowers in the vase.,أسۍ ہٮ۪کو گُل دانَس منٛز نقلی پوش تھٲوِتھ
515,Hussain is working as an artillery in Army.,حُسین چُھ توپ خانَس منٛز بَطورِ فوجی کٲم کَران
516,He provided new artillery to the Army.,تٔمۍ کوٚر فوجَس نوٚو توپ خانہٕ فَراہَم
517,Akbar is a successful artist.,اکبَر چُھ اَکھ کامیاب فن کار
518,This building is quite artistic in the design.,ییٚمہِ عٮ۪مارتہِ ہِنٛز بناوٹ چھےٚ فن کارانہٕ
519,She has artistic temperament.,تٔمِس چُھ فن کارانہٕ مِزاز
523,You can go earlier as you have to reach far.,تُہۍ ہیٚکِو سُلی نیٖرِتۍ تِکیازِ تۄہہِ چُھ واریاہ دوٗر واتُن۔
524,As he was busy he could not come.,سُہ ہیٚوک نہٕ یِتھ کیازکِہ سُہ اوس آوُر
526,Drop the cigarette ash in the tray.,سِگریٹُک سوٗر ترٛاوو ٹرٛے منٛز
527,An ash tree was found there.,تتہِ آو اکہِ قٕسمُک جنٛگلی کُل لبنہٕ۔
528,She was deeply ashamed of her behavior at the party.,سالَس پٮ۪ٹھ پننہِ سٔلوٗک سۭتۍ ٲس سۄ سٮ۪ٹھا شرمنٛدٕ
529,Please stand aside until I move the car forward.,مہربٲنی کٔرِتھ روٗزِو اَکہِ طرفہٕ یوٚتام بہٕ گٲڈی برٛۄنٛہہ پکناو
530,He pulled the curtains aside.,تٔمۍ لوٚم پردن پتھ کُن
531,The informative aside about rural life make this guide relevant.,دِہٲتی زِنٛدگی مُتعلق اِطلاعٲتی رۄح رکان چھِ یتھ گایڈس مُنٲسِب بناوان۔
532,You can ask him about the ring.,ژٕ ہٮ۪کَکھ تٔمِس واجہِ مُتعلِق پرٛژِھتھ
533,They may be asking for advance rent.,تِم آسنَے گۄڈَے کِرایہِ منٛگان
535,I found him fast asleep in his room.,مےٚٚ وُچھ سُہ پنٛنِس کمرَس منٛز شیٚنٛگِتھ
536,You must look at all aspects of the problem.,تۄہہِ پَزٮ۪و ییٚمہِ مسلُک ہر کانٛہہ صوٗرت حال مَدِ نظر تھاوُن
537,The army made an announcement to assault the enemy.,فوجن کوٚر دُشمَنس پٮ۪ٹھ حملُک اعلان
538,The police assaulted the unarmed demonstrators.,پُلسَن کوٚر بےٚ ۂتھیار مُظٲہِریٖنن پٮ۪ٹھ حملہٕ
539,The students assembled in the central hall.,طٲلبہِ عٔلِم گٔیہٕ مرکٔزی ہالس منٛز جمع
541,The spare parts of the vehicle were assembled in the garage.,گاڈِ ہِنٛدۍ سامان آیہِ گیراجس منٛز جوڑنہٕ
542,The national assembly held a meeting to discuss the budget.,بَجٹَس پٮ۪ٹھ بَحث کَرنہٕ خٲطرٕ آیہِ قومی اٮ۪سَمبَلی دٔسۍ اَکھ میٖٹِنٛگ مُنعقد کَرنہٕ
543,She asserted that she would not yield to any pressure.,تٔمۍ ووٚن زور دِتھ زِ سۄ یی نہٕ کُنہِ تہِ دَباوَس منٛز
544,Everyone has to assert for the law to be passed.,قونوٗن چہِ منٛظوٗری خٲطرٕ پیٚیہِ سارنی زور دیُن
547,He assigned the work to different people.,تٔمۍ دِژ مُختٔلِف نفرَن کٲم
548,The case was assigned to Aslam.,یہٕ کیس آو اسلَمس مَٹہِ تھاونہٕ
550,They assigned calculations to the management student only.,تِمو چُھ حِساب کِتاب صِرِف میٚنیجمٮ۪نٛٹ کٮ۪ن طالبہِ عٔلمن مَٹہِ تھوومُت
551,The assignment was completed successfully.,ذِمہ وٲری ٲس کامیٲبی سان مکمل کرنہٕ آمٕژ۔
552,They assist each other in their works.,تِمۍ چھِ اَکھ أکِس کامہِ منٛز پلزان
553,They did not receive any assistance.,تِمن میٖج نہٕ کانٛہہ تہِ مَدد
554,They needed an assistant to finish the work on time.,وقتَس پٮ۪ٹھ کٲم کَرنہٕ خٲطرٕ ٲس تِمن أکِس مَدد گار سٕنٛز ضٔروٗرَت
555,He is an associate of my brother's bussiness.,سُہ چُھ میٛٲنبِس بٲے سٕنٛدِ کارُک شٔریٖک۔
556,I don't associate the two ideas.,بہٕ چُھس نہٕ یِم زٕ خیال رلاوان۔
557,He is our new associate professor.,سُہ چُہ سون نوٚو اسوسِییٹ پرٛوفیسَر
558,He is my close associate.,سُہ چُُھ میٛون قٔریٖبی سٲتھی
559,It is considered prestigious to be associated with him.,تٔمِس سۭتۍ وابستہٕ آسُن چُھ با وٮ۪قار مانٛنہٕ یِوان
560,The organisations have a long association .,تنزیٖمَن چھےٚ پانہٕ وٲنۍ پرٛٲنۍ دوستی
561,He got the position because of his association with the ruling political party.,حُکُمران سِیٲسی جمٲژ سۭتۍ وابستہٕ گی آسنہٕ کِنۍ میلیٛوو تٔمِس یہٕ عۄہدٕ
562,Let us assume that he was out of station on that day.,أسۍ مانَو زِ سُہ اوس اَمہِ دۄہہ شہرٕ نٮ۪بَر
563,The Prime Minister will assume office from tomorrow.,ؤزیٖر اعظم سمبالہِ پگہہِ پٮ۪ٹھٕ عۄہدٕ
564,She assumed a happy look on her face,سۄ ٲس ہاوان زِ سۄ چھےٚ خۄش
565,It was easy to assume that he was guilty.,یہِ انٛدازٕ لَگاوُن اوس سَہل زِ سُہ چُھ خطاوار
566,I am afraid your assumption is not true.,مےٚ چُھ باسان زِ چون خَیال چُھ نہٕ صٔحی
567,His assumption of supreme power in the office was not liked.,تٔمۍ سٕنٛدِ تھدِ پایُک طاقت آسنُک برٛم اوس نہٕ دفتَرَس منٛز کٲنٛسہِ تہِ پَسنٛد
568,He gave me his assurance that he will finish the job on time.,تٔمۍ دیُت مےٚ بَروسہٕ زِ سُہ مۄکلاوِ وقتَس پٮ۪ٹھ کٲم
571,He knew his future by studying astrology.,عٔلمِہ نٔجوٗمی پرنہٕ کِنۍ ٲس تٔمِس پنٛنہِ مُستقبِلٕچ زانٛکٲری
572,I wanted to be the first astronaut to set foot on the moon.,بہٕٕ اوسُس زوٗنہٕ پیٚٹھ قدم تھاون وول گۄڈنیُک خٕلا باز بنُن یژھان۔
574,The exile poet asked for an asylum.,جَلاے وطن شٲعِرَن مٔنٛج چَھپَن جاے
575,Akbar was finally sent to an asylum for mental treatment.,ٲخٕر آو اکبر ذہنی اعلاج خٲطرٕ پاگل خانہٕ سوزنہٕ۔
577,The function was held at the school ground.,فنٛگشَن آو مدرَسہٕ کِس مٲدانَس منٛز مُنٛعقد کَرنہٕ
578,It is very cold at night.,راتھ کیُتھ چھےٚ واریاہ تۭر آسان۔
579,He is good at painting.,سُہ چُھ پیٹِنٛگ منٛز اَصٕل
580,The meeting was held at the Central Office..,میٖٹِنٛگ آیہِ مرکٔزی دفتَرس منٛز مُنٛعقد کَرنہٕ
582,She works at a school for the handicapped.,سۄ چھےٚ موزوٗرن ہِنٛدِس مدرسس منٛز کٲم کران۔
583,She stayed at her parents` for the whole vacation.,تٔمۍ گُزٲر پَنٕۍ سٲرٕے چُھٹی پنٛنِس مٲلِس ماجہِ نِش
584,At night the sky was totally clear.,راتھ کیُتھ اوس آسمان پوٗرٕ صاف
585,Giri is an athletic man.,گِری چُھ اَکھ گِنٛدَن وول نَفر
586,Pollution causes great harm to the atmosphere.,آلوٗدگی چھےٚ ماحولَس سٮ۪ٹھا نۄقصان واتناوان
587,We didn't have an atom of food.,اسہِ اوس نہٕ کھیٚنُک اکھ زرٕ تہِ۔
588,The first atomic bomb was made in America.,گۄڈنیُک ایٚٹم بمب اوس امریکاہس منٛز بناونہٕ آمُت۔
589,I attached my photograph with the form.,مےٚ تھوو پَنُن فوٹو فارمَس سۭتۍ
590,You need to attach all the relevant papers.,تۄہہِ چِھو تَمام مُتعلہٕ کاغزات سۭتۍ تھاوٕنۍ
591,The young puppy attached itself to my mother.,لۄکٕٹۍ ہوٗنہِ بَچن چھےٚ میٛانہِ ماجہِ پَنٕنۍ ماے کٔرمٕژ
592,His property was attached for non-payment of taxes.,ٹیٚکسٕچ ادایگی نہ کرنس پیٚٹھ أسۍ تٔمۍ سٕنٛز مِلکیت ضبط کرنہٕ آمٕژ۔
593,He doesn't want to go on a tour because he is attached to his mother.,ماجہِ سۭتۍ لَگاو آسنہٕ کِنۍ چُھ نہٕ سُہ یَژھان سفرَس نیرُن
594,The town was under attack.,قصبہٕ اوس حملہٕ کِس زَدس منٛز
595,The enemy forces attacked the outpost during the night.,دُشمَن فوجَن کوٚر راتھ کیُتھ نیٚبرِمہِ چوکہِ پٮ۪ٹھ حملہٕ
596,He was attacked by a group of youths.,تٔمِس پیٚٹھ آو نوجوانن ہِنٛدِ اکہِ جمٲعژ ہِنٛدِ طرفہٕ حملہٕ کرنہٕ۔
597,We attained our goals by hard work and sincerity.,محنٛت تہٕ دِلہٕ جانہٕ کٲم کَرنہٕ سۭتۍ گٔیہِ أسۍ پَنٕنۍ مقصد حٲصِل کرنَس منٛز کامیاب
598,He wants to get over all his responsibilities before atttaining retirement.,سُہ چُھ رِٹایرمیٚنٛٹَس واتنہٕ برٛونٛہہ پنٛنہِ سارے ذموٲریہٕ نَکھٕ والُن یَژھان
599,The rescue attempt for the victims were hindered by the bad weather.,مُتٲثِریٖن بَچاونٕچ کوٗشِشہِ منٛز آیہِ خَراب موسمہٕ کِنۍ رُکاوٹ
600,The prisoners attempted to escape from the prison.,قٲدٮ۪و کٔر جیلہٕ منٛزٕ ژلنٕچ کوٗشِش
601,Many people attended the funeral.,واریاہَو لُکو کٔر جِنازَس منٛز شٔموٗلِیت
603,He had a number of matters to attend to.,تٔمِس چُھ واریاہَن معاملَن تَوَجہ دیُن
604,The issue came to his attention through media.,یہِ مسلہٕ آو میٖڈیا کہِ ذٔریعہٕ تٔمۍ سٕنٛدِس توجس منٛز۔
605,The soldiers were commanded to stand in attention.,سِپہَن آو ہُشٲری سان کھڑا روزنُک حُکُم دِنہٕ
606,We kept all the boxes in the attic.,اَسہِ تٔھوٚو سٲری ڈَبہٕ کٲنی منٛز
608,Hari was his attorney in the lawcourt.,ۂری اوس تٔمِس عَدالتَس منٛز ؤکیٖل
609,His voice attracted everyone in the hall.,ہالَس منٛز موجود سارنی لُکن گٔیہِ تٔمۍ سٕنٛزِ آوازِ کُن کٔشِش
610,The place has several tourist attractions.,یَتھ جایہِ چھِ سَیاحَن خٲطرٕ واریاہ دِل کَش مُقامات
614,The audience were impressed by her lecture.,ناظریٖن گٔیہِ تٔمۍ سٕنٛدِ تقریٖر سۭتۍ مُتٲثِر
615,The governor agreed to give an audience to the demonstrators.,گَورنَر گوٚو مُظٲہِریٖنَن حاضرین دِنَس پٮ۪ٹھ رٲز
616,The auditorium was left open for the public.,آڑِٹورِیَم اوس عوامہٕ خٲطرٕ یَلہٕ ترٛاونہٕ آمُت
618,My aunt is coming to spend the vacations with us.,میٛٲنۍ پۄپھ چھےٚ اَسہِ سۭتی چُھٹی مَناونہٕ خٲطرٕ اَسہِ
620,It was not an authentic evidence to prove him guilty.,سُہ قٔصوٗر وار ثٲبِت کَرنہٕ خٲطرٕ اوس نہٕ یہِ صٔحیح ثٔبوٗت
621,He is an authentic man.,سُہ چُھ اَکھ صٔحیٖح نَفر
622,The corner shop keeps authentic French Cheese.,کوٗنکِس دُکانَس چھےٚ آسان اصلی فرٛانٛسٕچ ژامَن
624,Dostoevsky is my favorite author.,ڈوسٹووِسکی چُھ میٛون پَسنٛدیٖدٕ أدیٖب
625,Ram is the chief author of the proposal.,رام چُھ تجویٖز نامُک اَہم مُصَنِف
626,Ram authorised him to handle the business.,رامَن دیُتھ تٔمِس کارٕبار سمبالنُک اِختیار
627,The area is not authorised for commercial purpose.,یَتھ جایہِ چُھ نہٕ تِجٲرتی معاملَن خٲطرٕ اِجازت دِنہٕ آمُت
628,Ram has the authority to suspend his laborers.,رامَس چُھ پَنٕنۍ مٔزوٗر معطل کرنُک اِختیار
629,It was done without the teacher`s authority.,یہِ اوس اُستاد سٕنٛدِ اِجازتہٕ بغٲر کَرنہٕ آمُت
630,She has an authority in her department.,تِٔمِس چُھ پنٛنِس محکَمَس منٛز اِختیار
631,His authority is weakening day by day.,تٔمۍ سُنٛد اقتدار چُھ دۄہ کھۄتہٕ دۄہ کمزور گژھان۔
632,Ram authorized him to handle his business.,رامَن دیُتھ تٔمِس کارٕبار سمبالنُک اِختیار
633,His visit was not authorized.,تٔمۍ سٕنٛدِس دورَس اوس نہٕ اِجازَت دِنہٕ آمُت
634,The auto industry is booming.,گاڑیٚن سۭتۍ وابستہٕ صنعت چھےٚ ترقی کران۔
635,He bought an auto to earn his livelihood.,پنُن روزگار زینٛنہٕ خٲطرٕ اوٚن تٔمۍ آٹو۔
636,We would prefer to buy fully automatic washing machine.,أسۍ یَژھو پورٕ آٹومیٚٹِک پَلَو چھلنٕچ مِشیٖن ہیٚنۍ
637,The machine is fully automatic.,مِشیٖن چھےٚ پوٗرٕ پٲٹھۍ پانَے چلن واجیٚنۍ۔
638,The door opened automatically.,دروازٕ گوٚو پانَے یَلہٕ
639,The automobile boom has also created devastation of some kind.,موٹر گٲڑٮ۪ن ہُنٛد بازرَس منٛز بَڑنہٕ سۭتۍ گٔیہِ اَکہِ قٕسمٕچ تَبٲہی
640,The University wants to have an autonomy from the government.,یُنوَرسِٹی چھےٚ حُکوٗمتَس نِش آزٲدی یَژھان
641,Trees shed leaves during autumn.,ہَردَس منٛز چھِ کُلٮ۪ن پَنہٕ ؤتٕھر پٮ۪وان
642,The ready availability of guns is responsible for wide spread violence.,بٔنٛدوٗقَن ہِنٛز آسٲنی سان دٔستِیٲبی چھےٚ تٔھدِس پیٚمانَس پٮ۪ٹھ پھٲلَن والِس تشدُدَس ذِموار
643,They have to manage within the available space.,یۄس جاے دٔستِیاب چھےٚ تِمن چُھ تٔتھۍ منٛز گُزارٕ کَرُن
644,He will be available in the afternoon.,سُہ آسہِ دُپہارس موجود۔
646,An avenue to success is found by dedication and hardwork.,کامیٲبی ہِنٛز وَتھ چھےٚ یِوان وقف تہٕ محنٛتہٕ سۭتۍ لَبنہٕ
648,The average marks for the admission to the course is 50%.,کورسَس منٛز دٲخلہٕ خٲطرٕ چھِ اَوسَط نمبَر پنٛژہ فیٖصَد
649,This car runs an average of 40 miles an hour.,یہِ گٲڑۍ چھےٚ اَوسَطن ژتجی میٖل فی گٲنٛٹہٕ پَکان
650,I averaged the price of meat in four nearby stores.,مےٚ کٔڑ ژۄن نزدیٖکی دُکانن منٛز ماز کہِ قۭمتُک اوسط۔
651,One should not avoid the responsibilities.,اسہِ پَزن نہٕ ذموٲریہٕ ٹالنہِ
654,Farmers await for rain for their crops.,زٔمیٖن دار چھِ پنٛنہِ فصلہٕ خٲطرٕ روٗدَس پیٛاران
655,It is difficult to stay awake the whole night.,پوٗرٕ راتس ہُشارٕ روزُن چُھ مُشکِل۔
656,Hari awoke Mina at six in the morning.,ۂریَن وٕزنٲو مِنا صُبَس شیٚیہِ بَجہِ
657,The children were wide awake.,شُرۍ ٲسۍ پوٗرٕ ہُشارٕ
658,She received an award for an excellent performance.,تٔمِس میٛلیوو بہتٔریٖن کارکردٕگی خٲطرٕ انعام
660,She was awarded for her good work.,تٔمِس آو پنٛنہِ جان کامہِ خٲطرٕ اعزاز دِنہٕ۔
661,They awarded the best film title to Shyam Benegal`s film.,تِمو دیُت شِیام بینیگَل سٕنٛزِ فِلمہِ بہتٔریٖن فِلمہِ ہُنٛد خٕطاب
662,I was not aware of the time.,بہٕ اوسُس وقتَس نِش بےٚ خَبر
663,Be aware of the dogs.,ہونٮ۪ن نِش روٗزِو ہوشیار
665,My birthday is only a week away from today.,میٛون زاے دۄہ چُھ أزۍ کہِ پٮ۪ٹھٕ صِرِف اَکھ ہفتہٕ دوٗر
667,They worked away for three days to get it finished.,سُہ مۄکلاونہٕ خٲطرٕ کٔر تِمو ترٛٮ۪ن دۄہَن لَگاتار کٲم
668,The sight of starving children is too awful to see.,پھاکہٕ سۭتۍ مَرن والٮ۪ن شُرٮ۪ن ہُنٛد حال چُھ آسان سٮ۪ٹھا ہٲبتھ ناک
669,It was an an awful movie.,یہِ ٲس اَکھ دَہشت ناک فِلِم
670,He has an awkward mannerism.,تٔمِس چھِ بےٚشوٗب اَدب
671,Driving down this road is quite awkward.,یَتھ وَتہِ پٮ۪ٹھ گٲڑۍ چلاوٕنۍ چھےٚ واریاہ کھروٕنۍ
672,She found herself in an awkward situation.,تٔمِس باسیٛوو پَنُن پان عٔجیٖٖب حالتہِ منٛز
673,The earth moves on its axis.,زمیٖن چھےٚ پنٛنِس دُرس پیٚٹھ حرکت کران۔
674,Her baby girl is really cute.,تٔمۍ سُنٛد کورِ بَچہٕ چُھ سٮ۪ٹھا خۄشوُن
675,She was babied by all the family members.,سۄ ٲس گرِ کیٛو تمام بٲژو رٔچھمٕژ۔
676,He hurt his back in an accident.,حٲدِثَس منٛز لوٚگ تٔمِس کمبرَس
677,The football is at the back of the cupboard.,فُٹ بال چھےٚ المارِ ہِنٛدِس پٔتۍمِس طرفَس
678,Sachin returned back to his grandparents house.,سَچِن آو واپَس پنٛنِس نانہِ بٕڑۍبَب سٕنٛدِس گَرَس منٛز
679,She kept looking back for her friend.,سَۄ روٗز پنٛنہِ ویٚسہِ ہِنٛدِ مۄکھٕ پَتھ کُن وٕچھان
681,I saw the film a few years back.,کیٚنٛہہ ؤری برٛونٛہہ وٕچھ مےٚ یہِ فِلِم
682,We must not turn our back to our duties.,اَسہِ پَزِ نہٕ پنٛنٮ۪ن فرٲیضن نِش پَتھ روزُن
683,She is backed by the ruling party in her state.,تٔمِس چھےٚ پنٛنہِ رِیاستٕچ حُکمرٲنی جماعت حِمایَت کَران
685,He backed our project wholly.,تٔمِۍ کٔر سٲنِس منٛصوٗبَس پوٗرٕ پٲٹھۍ حمایَت
686,They were very eager to inquire about her background.,تٔمۍ ٲسۍ تٔمۍ سٕنٛدِس ژٔکِس مُتعلق پرٛژھنہٕ خٲطرٕ سیٚٹھا بےٚ قرار۔
687,The painting has a blue and green background.,تصویٖرِ چُھ نیٛوٗل تہٕ سبٕز پوٚت منظر۔
688,We are financially backward in comparision to our friends.,مٲلی طور چھِ أسۍ دوستَن ہِنٛدِس مُقابلَس منٛز پَسمانٛدٕ
689,He gave a backward glance.,تٔمۍ دِژ پوٚت نَظر
690,These medicines are for bacterial infections.,یِم دَواہ چھِ جَرٲسیٖمی اِنفیٚکشَنن خٲطرٕ
691,The picnic was spoiled by bad weather.,خَراب موسم آسنہٕ کِنۍ روو پِکنِکُک مَزٕ
692,He is going through a bad period.,تٔمِس چُھ خَراب وقت چَلان
693,Aslam's accident was quite a bad one.,اسلَمُن حٲدثہٕ اوس سٮ۪ٹھا تَباہ کُن
694,I`m afraid that I`ve badly hurt him.,مےٚ چُھ ڈر زِ مےٚ چُھ تٔمِس خطرناک پٲٹھۍ دۄکھ واتنوومُت
695,I carry the bag whenever I go to the market.,بہٕ ییٚلہِ تہِ بازر گَژھٕ بہٕ چُھس ٹھیلہٕ سۭتۍ نِوان
696,I lost my bag in the market.,مےٚ رٲو بازرس منٛز گۄژٕر۔
699,He bagged two deers.,تٔمۍ رچہِ زٕ روٗسۍ کچہِ۔
701,One should try to achieve a proper balance between work and play.,اَسہِ پَزِ کامہِ کارَس تہٕ گنٛدنَس درمِیان مُنٲسِب تَوازُن تھاونٕچ کوٗشِش کَرٕنۍ
702,We shall weigh it on the balance.,أسۍ تولو یہِ ترٛکرِ پیٚٹھ۔
703,Their balance is fifty thousand rupees.,تِمن چھِ پنٛژاہ ساس رۄپیہِ بقایا۔
704,Ram is playing with ball.,رام چُھ پینٛدِ گِنٛدان
705,Rani is throwing her ball.,رانی چھےٚ پَنٕنۍ پینٛد لَگاوان
706,It is a very interesting ballet.,یہِ چُھ اَکھ واریاہ دِلچسپ پٲتٕھر
707,This conclusion will drive me ballistic.,یہِ نتیٖجہٕ بناوِ مےٚ تیشل۔
708,Many balloons were floating in the air.,واریاہ پھۄکٕہ ڈیوٗنٛگۍ ٲسۍ ہَوہَس منٛز ییٖران
709,They decided to hold a ballot.,تِمو کوٚر اِنتِخاب منعقد کرنُک فٲصلہٕ۔
710,The party decided to ballot its members.,جمٲژ کوٚر مُقرر زِ تِم دِنۍ ووٹ پنٛنٮ۪ن رُکنَن
711,There is a ban on smoking in public places.,عوٲمی مُقامَن پٮ۪ٹھ چھےٚ سِگریٹ چیٚنَس پٮ۪ٹھ پابنٛدی
712,The film was banned.,فِلمہِ اوس ٹھاک لاگنہٕ آمُت
713,Banana is good for health.,کیل چھےٚ صحتہٕ خٲطرٕ اَصٕل
716,There were beautiful gardens developed on both the banks of river.,دٔریاو کٮ۪ن دۄشوٕنِے بَٹھٮ۪ن پٮ۪ٹھ ٲسۍ لوٗبوٕنۍ باغ بَناونہٕ آمٕتۍ
717,Ram banks his surplus money.,رام چُھ علاوٕ رۄپیہِ بینٛکَس منٛز تھاوان
719,"Pizza is available at all times,barring sunday evenings.",آتھوار شامَس وَرٲے چُھ آسان پیٖزا ہر وِزِ دٔستِیاب
720,They immediately barred the door from inside and switched off the lights.,تِمو کوٚر فورَن دروازٕ أنٛدٕرۍ کِنۍ بنٛد تہٕ کَرٮ۪کھ بَتہِ ژھٮ۪تہٕ
721,Troops barred the road so we had to turn back.,فوجَو کٔر سَڑَک بنٛد تَوَے پیٛوو اَسہِ واپس گَژُھن
722,"The whole group is leaving, bar two students.",پوٗرٕٕ جماعت نیرِ، بغٲرِ زٕ طٲلبہِ عٔلم۔
723,I saw Ram walking into the bar.,مےٚ وُچھ رام شَراب خانَس منٛز اَژان
724,They fitted bars to their windows for safety.,حِفاظتہٕ خٲطرٕ لٲگۍ تِمو پنٛنٮ۪ن دارٮ۪ن سیٖکھ
726,The hero was fighting with bare hands in the film.,ہیٖرو اوس فِلمہِ منٛز ژھرۍوٕے اَتھو لَڑان
727,His bare dislike for bribery is known to all.,رِشوَت خوری خٲطرٕ تیٚمۍ سٕنٛز نَنہِ وانہٕ ناپَسنٛدگی چھےٚ سارنی پَے
728,He presented the bare facts of the case before the judge.,تٔمۍ کٔر مُنصِفَس برٛونٛہہ کَنہِ کیسٕچ نٔنۍ حٔقیٖقت پیش
729,She bared her veiled face.,تٔمۍ کٔوٚڑ پَنُن باپردٕ بُتھ نوٚن
731,Ram could barely pass in the exam.,رام درٛاو اِمتِحانَس منٛز مُشکِلن پاس
732,He has barely paid 6% advance rent.,تٔمۍ چھےٚ تقریٖبَن شیٚیے فیٖصدکِرایہٕ گۄڈٕ بٔرمٕژ
733,We will give you a good discount as part of the bargain.,دَرٕدَرٕ کَرنہٕ مۄکھٕ دِمو أسۍ تۄہہِ قۭمتَس منٛز اصٕل رِعایت
