ID,sentence,Usage
751,We have to decide what to do.,Public
752,She warned me that the stove was still hot.,Public
753,He was a designated judge.,Public
754,She won the game by craft and guile only.,Public
755,He will take over the task when I go on leave.,Public
756,You may also put in your assessment of the situation.,Public
757,The city needs to improve its public transportation,Public
758,The award ceremony will be held next week.,Public
759,We pay the minimum taxes.,Public
760,There's a visitor waiting for you in the lobby.,Public
761,I have got one-fourth of the wealth of my family.,Public
762,"She was charming, intelligent, and vivacious.",Public
763,He went there in the dead of winter.,Public
764,His aunt is a teacher.,Public
765,The actor made his appearance on the stage alone.,Public
766,It's a long trek into town.,Public
767,Her mother has gone to buy trousseau for her.,Public
768,Summer clothing should be sent to the washerman to be washed.,Public
769,It's not far; you can walk there to reach.,Public
770,This knife is ivory handled .,Public
771,The wheel in the cycle is not moving.,Public
772,The poet captured the essence of Spring in his poetry.,Public
773,Ali wedded Ayesha.,Public
774,She has to give a proof of her identity.,Public
775,The women were ululating with grief.,Public
776,She has tricked him.,Public
777,Always check the temperature of a room before you walk into it.,Public
778,You have not buttered my toast properly.,Public
779,He belongs to a princely state.,Public
780,Watermelon was tasty.,Public
781,I aided him in his enterprise.,Public
782,Such an exploration would only be possible under certain circumstances.,Public
783,I got million dollars.,Public
784,He pays less to his employees.,Public
785,The atomic bomb is a grave threat to mankind.,Public
786,It is better to resolve the dispute in between.,Public
787,I love to see marine animals.,Public
788,The police put a watch on the suspect's house.,Public
789,The air consist of more than 70 % of nitrogen.,Public
790,Burning of sulphur keeps rats away.,Public
791,How did you come to know about this accident?,Public
792,Our resources are in a state of flux.,Public
793,Her new work is equivalent to the older one.,Public
794,In the dark she fancied that she saw a ghost.,Public
795,The sofa is delivered in pieces and we have to assemble it.,Public
796,He knew they were tracing him.,Public
797,She made her entry towards the end of the ceremony.,Public
798,He is very close with his money,Public
799,The city has begun to westernize.,Public
800,She was wayworn after the long trip.,Public
801,He has a tendency to make wrong decision.,Public
802,She had been bitten by a viper.,Public
803,The teacher grouped the students.,Public
804,I don't eat anything while I am working.,Public
805,She is carrying loaded utensils.,Public
806,She picked up the most beautiful dress.,Public
807,Physical exercises can free your body and mind of tension.,Public
808,Throw out that bread!,Public
809,She is delegated with the management of the office.,Public
810,She sang a beautiful number.,Public
811,The teacher explained the topic to the students.,Public
812,I can do whatever I want.,Public
813,She will be fifteen this year.,Public
814,The mechanic replaced damaged components of car.,Public
815,I plugged the bottle of milk after taking some out of it.,Public
816,They were rescued from despair at the last moment.,Public
817,He is mentally challenged.,Public
818,Protection of babies against mosquitoes is very necessary.,Public
819,He is the famous vintner of the town.,Public
820,They have put a weather satellite into orbit round the earth,Public
821,The storm badly damaged goods kept on wharves.,Public
822,She joined a group of walkers in the neighborhood.,Public
823,We took the photograph of Tajmahal when we went to Agra.,Public
824,The orderly is doing his work very honestly.,Public
825,We successfully cracked the problem.,Public
826,Student`s work hard to get good positions in future.,Public
827,I think of you constantly.,Public
828,It was rejected by many theologians.,Public
829,This is a fine place for staying.,Public
830,We should not intrude in others home.,Public
831,Do not deny her explanation.,Public
832,The bed occupies a huge space.,Public
833,The teachers should improve one's power of perception.,Public
834,A goose waddled across the yard.,Public
835,I visit my grandparents on sundays.,Public
836,Ritesh is full of hate towards Preeti.,Public
837,Honesty is the best policy.,Public
838,The border dispute led to war between the two nations.,Public
839,I go to a vocational school.,Public
840,Ram always tries to avoid driving during night.,Public
841,We are leaving this place.,Public
842,I left the upstairs window open.,Public
843,He comes from good origins.,Public
844,Can you come with me?,Public
845,They bagged the best vegetables from the store.,Public
846,Will you please come here.,Public
847,She kept the tea kettle on the table.,Public
848,We can decorate the place overnight.,Public
849,He is a neutral person.,Public
850,"Now that you have done it, I will see it.",Public
851,The birthplace of Longfellow is now a tenement.,Public
852,Many political leaders fan communal violence for personal gains.,Public
853,I want you to write an essay.,Public
854,There is a good canteen.,Public
855,My uncle has a farm in the village.,Public
856,A general tariff was imposed on foreign imports.,Public
857,He became the victim of a virulent infection.,Public
858,Whose car is that?,Public
859,The terrene building is a special kind construction in a special region of Chinese country.,Public
860,The kitten wormed its way through the hole.,Public
861,I will speak for you.,Public
862,We are not adequately equipped to launch the new brand.,Public
863,The job requires special training.,Public
864,I can`t afford to buy myself this dress at the moment.,Public
865,I used to pattern myself according to my big sister.,Public
866,Hardwork is avenue to success.,Public
867,She spent two months in the war-torn city.,Public
868,Abid is a member of parliament.,Public
869,The barber's knife nicked his cheek.,Public
870,The military thought that further movement could be risky.,Public
871,After the break we started work again with vigour.,Public
872,The judge was not fully persuaded by the evidence.,Public
873,The police found difficult to control the mob.,Public
874,I prefer coffee.,Public
875,You ought to apologize to me.,Public
876,Tanner took a quick nap to replenish his dwindling energy.,Public
877,I just gave him a message.,Public
878,It gives me great pleasure to introduce you to such a renowned artist.,Public
879,He lost a leg in the accident.,Public
880,He fell down with a single push.,Public
881,I spent six months as a visiting professor,Public
882,The terrified child ran away,Public
883,Today the sky is of orange color.,Public
884,She can no longer tolerate his intercession.,Public
885,They are all invited for the party.,Public
886,Our aim is to learn through play.,Public
887,"Whenever he comes to India, he visits us.",Public
888,He is a neat worker.,Public
889,The jurors discussed the evidence and made their decision thereupon.,Public
890,They will post me the cheque as soon as they recieve my bill.,Public
891,He will give witness about the case in the court.,Public
892,It takes clear two days to reach Indore from here.,Public
893,He got visa on his second try.,Public
894,We now export all kinds of industrial products.,Public
895,She is a woman of great character.,Public
896,He lifted the iron beam.,Public
897,She takes time in dressing herself up.,Public
898,The great thing about it is that we work together on video conferences.,Public
899,The boy whom you gave that book has come.,Public
900,They agreed to work together.,Public
901,The cow has a diseased udder.,Public
902,Thriftiness is a great quality.,Public
903,Wipe your nose with a tissue.,Public
904,He reminds me of my tragedy frequently.,Public
905,Fantastic tinct of the dry flowers.,Public
906,They charge a tremendous amount of money.,Public
907,He is planning to abscond with his beloved.,Public
908,Only married couples are allowed there.,Public
909,We sat down in the sunshine and had lunch.,Public
910,We physicians know that bactericidal is not necessarily viricidal.,Public
911,I like to eat green vegetables.,Public
912,The hunter's target was a deer.,Public
913,I supplicate you to tell me.,Public
914,I don't want to live anymore.,Public
915,Some of those travellers are here today.,Public
916,She gave me a beautiful bunch of violets.,Public
917,You cannot distinguish him from the rest.,Public
918,He bought a good electric heater for winters.,Public
919,You must check once again through your pockets..,Public
920,"When I reached, the counter was closed.",Public
921,"I am tired to go for a walk, besides it's raining outside",Public
922,The victim had been strangled.,Public
923,The proposal will be considered for approval.,Public
924,Doctors have to detach themselves from their feelings.,Public
925,Write her name in capital letters.,Public
926,Symptoms of his illness are fever and persistent dry cough.,Public
927,He always plays a prominent role in stage programmes.,Public
928,The separation weighed on both of them.,Public
929,The long hours of work have wearied me.,Public
930,He is very popular actor.,Public
931,He is a thrifty man.,Public
932,He felt a thump on his shoulder.,Public
933,I congratulated my friend on her success in the exam.,Public
934,Many soldiers fell in the battle.,Public
935,Drink a glass of milk everyday.,Public
936,Nothing can sunder our friendship.,Public
937,Oxygenated blood is brought by pulmonary arteries to the heart.,Public
938,Do you know how to manipulate a computer?,Public
939,Preeti is away on vacation for one month.,Public
940,He gave her a job to rescue her from the misery.,Public
941,He is the director of this institute.,Public
942,Flags were waving in the breeze.,Public
943,Her failures vexed him.,Public
944,Are you looking forward to your testimonial?,Public
945,It was bound to happen sooner or later.,Public
946,She is full of energy.,Public
947,He has been a cricket champion.,Public
948,He flagged the car to stop.,Public
949,The classification of books is yet to be done.,Public
950,He whacked the little boy for spilling milk.,Public
951,Mother put a veto on our staying out late.,Public
952,He is a professor of narrative literature.,Public
953,We never know the worth of water till the well is dry.,Public
954,She was wearing an old dress.,Public
955,Children under five usually travel free on buses and trains.,Public
956,I had bread with butter for my breakfast.,Public
957,The food provided here is best than other closeby stores.,Public
958,They made a collective approach to resolve this problem.,Public
959,There are reptiles in this pond.,Public
960,He is a very emotional person.,Public
961,It was difficult to procure food.,Public
962,The child has a wound on the knee.,Public
963,Surgical techniques are constantly being refined.,Public
964,All these methods should be validated in respect of accuracy.,Public
965,We can meet in front of the bistro.,Public
966,His father prohibited him from doing so.,Public
967,"Pursuant to his instruction, I have ordered 10 bottles of milk.",Public
968,I find gardening very therapeutic.,Public
969,He has lost his power of speech.,Public
970,We will leave only when the roads are clear.,Public
971,I miss my beloved very much.,Public
972,There are hundred pupils in my class.,Public
973,He hunts for amusement.,Public
974,We need to better the conditions for the disabled.,Public
975,He has stored all his documents in the filing cabinet.,Public
976,Even a child can comprehend it.,Public
977,I bought a new watch recently.,Public
978,I got a walloping from my father when I came home.,Public
979,I doubt whether he'll come to the party.,Public
980,Meat is rich in protein.,Public
981,His vehicle needs a new engine.,Public
982,He meets me infrequently.,Public
983,Don't forget to take out the garbage.,Public
984,He is a class poet.,Public
985,Petrol feed of the car is blocked.,Public
986,Their clothing was not proof against the bitter weather.,Public
987,We were sweltering at the beach.,Public
988,These vitamin pills will restore lost vitality.,Public
989,She has drawn the information from different sources.,Public
990,Snowfall hindered the construction of road.,Public
991,There's not a vestige of truth in the story.,Public
992,He must be waiting for you on railway platform.,Public
993,The package is dated November 24.,Public
994,I enjoyed reading his second novel more than the first.,Public
995,The tyres are worn due to constant use.,Public
996,The case was forwarded to the Supreme Court.,Public
997,You should refrain from engaging in acts of stupidity.,Public
998,It is a substance causing painful vesication.,Public
999,There was a loud burst outside the house.,Public
1000,Women must take care after conception.,Public
1001,His words carry double meanings.,Public
1002,I have an infinite number of pens in my home.,Public
1003,He seems very sulky.,Public
1004,A building plan was approved by the authority.,Public
1005,My vision is getting worse day by day.,Public
1006,He was misunderstood notwithstanding his good intentions.,Public
1007,That point needs serious consideration.,Public
1008,There was a lot of mud in the play ground.,Public
1009,Necessary actions were taken to neutralise the threat.,Public
1010,I love French food.,Public
1011,It will take a lot of time to build the bridge.,Public
1012,I bought a new bicycle for myself.,Public
1013,Have you completed one cycle.,Public
1014,Is it our table?,Public
1015,The work would be easily done if you could just mobilise the workers.,Public
1016,He gave her a note for attending the party.,Public
1017,Science always tries to pinpoint the truth.,Public
1018,The houses on the street are all timeworn,Public
1019,He has been charged with a serious offence.,Public
1020,Treat me as a friend.,Public
1021,The visual images became real.,Public
1022,These guys are very good players.,Public
1023,He works as a waiter.,Public
1024,The best buys of this winter are carrots and peas.,Public
1025,His whiskers were long.,Public
1026,She gave her husband's brother's wife a golden chain.,Public
1027,A pack of scientists was sent to America for some research.,Public
1028,We went there once.,Public
1029,The vessel flooded and began to sink.,Public
1030,The agreement was carefully vetted by lawyers.,Public
1031,He felt a vestigial flicker of anger from last night.,Public
1032,They use vermilion to colour their cheeks.,Public
1033,Do you need any help?,Public
1034,The government was formed in coalition.,Public
1035,The riot began as a peaceful protest.,Public
1036,This path leads to the river through the forest.,Public
1037,The train derailed from the track,Public
1038,"Inspite of the defeat, morale was still high in the team.",Public
1039,A table stood in the corner of the room.,Public
1040,We can develop a better strategy.,Public
1041,This city has a distinct flavour of bygone times.,Public
1042,The game was outstanding.,Public
1043,We had a brief conversation and then she left.,Public
1044,He was accused of aiding the criminal.,Public
1045,John tried to compare himself with his friend.,Public
1046,She has taken up pathology as her major subject.,Public
1047,I play trumpet in the school band.,Public
1048,Which fruit do you like?,Public
1049,We travelled to the beach by coach.,Public
1050,The sound came from some quarter of the room.,Public
1051,There is a possibility of spiritual transcendence in the modern world.,Public
1052,It was a victory for the army.,Public
1053,They have introduced a new system whereby all employees must undergo regular training.,Public
1054,He has been a client of our goods for many years.,Public
1055,"In summary, this was a disappointing performance.",Public
1056,He has got into the `habit` of telling lies .,Public
1057,The prime minister met his cabinet for the talks.,Public
1058,The mouse was on the floor.,Public
1059,Her husband dominates her.,Public
1060,When did the accident occur?,Public
1061,Bread is made up of flour.,Public
1062,"Although we gave him money,he didn`t buy the book.",Public
1063,Loop the rope firmly round the log.,Public
1064,There was a watery discharge from her ear.,Public
1065,A group of journalists were moving towards the court.,Public
1066,He admitted his error.,Public
1067,He continued to quest for clues.,Public
1068,She has got loose thinking.,Public
1069,Do you wake up early in the morning?,Public
1070,Could you plug in the charger?,Public
1071,He must wear thinner shirt in summer.,Public
1072,The new employee has complicated the plan.,Public
1073,His response was well balanced.,Public
1074,What he said was just to whitewash himself.,Public
1075,Fields are full of white clovers.,Public
1076,I put a clear statement on this issue.,Public
1077,That little girl always wears beautiful and colored dresses.,Public
1078,Her jokes helped to relieve the tension.,Public
1079,She is suffering from a terminal illness.,Public
1080,Queen Victoria reigned over Britain from 1837 to 1901.,Public
1081,She has a beautiful form.,Public
1082,The delegates from different organizations have come.,Public
1083,He is supported by key figures of the political party.,Public
1084,I have a very good visual memory.,Public
1085,Fuel is used for cooking.,Public
1086,The earthquake toppled the buildings.,Public
1087,He hooked his opponent in boxing.,Public
1088,She is a patient listener.,Public
1089,The vegetation was viridescent.,Public
1090,The tribune has been very kind with his staff.,Public
1091,The great thing about it is that we work together on video conferences.,Public
1092,He who transgresses must seek forgiveness.,Public
1093,He is anxious about his future.,Public
1094,He is a merchant.,Public
1095,We condemn this act of our leader.,Public
1096,"They were skilled, but wanting in discipline.",Public
1097,He is a wicked man.,Public
1098,He lost his pen.,Public
1099,I like this video.,Public
1100,They have to wire the plot.,Public
1101,She hates flying.,Public
1102,He has applied a pleasant fragrance.,Public
1103,He has burning fever.,Public
1104,The hotel is decorated with ultramodern furnishings.,Public
1105,It is perhaps the best known of his works.,Public
1106,Isn't it a pleasant morning?,Public
1107,She gets annoyed when someone criticizes her.,Public
1108,His voice was filled with emotion.,Public
1109,Our car doesn't have enough power to tow a truck.,Public
1110,The results are presented in tabular form .,Public
1111,He was the best player in the tournament.,Public
1112,The boxes should be constructed from timber.,Public
1113,The patient is still in denial.,Public
1114,He authored some books.,Public
1115,I don`t like to race.,Public
1116,She narrated the whole story vividly.,Public
1117,The weakness of her voice surprised me.,Public
1118,Our ship is on to the wharf.,Public
1119,His mouth watered when he saw the sweets.,Public
1120,She is in a hospital.,Public
1121,His assets were seized by investigating agency.,Public
1122,There will be three of us for lunch besides the guests.,Public
1123,I can`t depend on you any more.,Public
1124,He is vulnerable because of diseases.,Public
1125,He motioned me to sit down.,Public
1126,Please can the pickles immediately.,Public
1127,We have to attend a wedding on Sunday.,Public
1128,He was having a tong in his hand.,Public
1129,I'll help you wash the car.,Public
1130,The army was ordered to advance.,Public
1131,Lot of porters are found in the airports.,Public
1132,My phone vibrated.,Public
1133,The police are after him badly.,Public
1134,The two events clashed so we had to miss one.,Public
1135,The door struck him in the face with a wham.,Public
1136,The program attracts millions of viewers every week.,Public
1137,I saw a drum in his room.,Public
1138,The girl contended that she saw a ghost.,Public
1139,He liked to tell war stories from his life as a sea captain.,Public
1140,Please draw a deep breath.,Public
1141,Certain chemicals are easily absorbed into the bloodstream.,Public
1142,"That is, they should veer in that direction.",Public
1143,The principal of the insititution is very popular among the members.,Public
1144,The sick and wounded were evacuated from the war zone.,Public
1145,The more noble the more humble.,Public
1146,I clashed against the wall and hurt my head.,Public
1147,There has been diffusion of communal tension in the area.,Public
1148,Strike is an everyday occurrence in our society.,Public
1149,Aeroplanes are filled with petrol.,Public
1150,Their new house is very swish.,Public
1151,He willed and every thing went accordingly.,Public
1152,This case will be investigated.,Public
1153,Electric wire has been looped around the branches of the tree to hang bulbs.,Public
1154,The thread breaks where it is weakest.,Public
1155,A smile may vivify a face.,Public
1156,There is a big park in our colony.,Public
1157,The work can be completed under favourable circumstances.,Public
1158,This plant flowers in June.,Public
1159,She lives on the fifth floor.,Public
1160,The forward seats in the bus are reserved for ladies.,Public
1161,She is wearing a shawl.,Public
1162,The child was naked.,Public
1163,It's a little bit tight.,Public
1164,Three dogs trot on the beach.,Public
1165,Two detectives were trailing him.,Public
1166,She seemed pleased by the compliment.,Public
1167,They ended the drama with a music.,Public
1168,He is a madcap.,Public
1169,Traders were bulking up their flour with salt.,Public
1170,The A.P. government intends to free more funds for educational purpose.,Public
1171,Fog severely restricted visibility.,Public
1172,He angled at the guard for a free entry.,Public
1173,I kept all my jewellery in the closet.,Public
1174,A brilliant idea occured to Newton while watching the apple fall.,Public
1175,The teacher warned the students not to repeat the mistakes.,Public
1176,An engineer can solve this problem.,Public
1177,He was more skilled swordsman.,Public
1178,He wants to do his work publicly.,Public
1179,He is clubbed among the classical actors.,Public
1180,I have all the addresses of my colleagues.,Public
1181,He bought a new quilt with very soft wadding for himself.,Public
1182,It is necessary to finish this job before the month ends.,Public
1183,I gained a lot of information in the two-day workshop.,Public
1184,His death is a mystery.,Public
1185,Her accounts were based on empirical facts.,Public
1186,The missiles were zeroed in on the enemy camps.,Public
1187,He used a motor to pump water from the well.,Public
1188,He decided to try sleeping without a pillow.,Public
1189,She has very good manners.,Public
1190,Many refugees have arrived at the border without passports.,Public
1191,She was weeping over her fate.,Public
1192,When the stranger entered her house she cried for help.,Public
1193,They logged the trees in the forest.,Public
1194,I was working on the evolution of the languages.,Public
1195,The operator produced the bill immediately.,Public
1196,Aslam and two other men came to my place last night.,Public
1197,People go to various religious places to worship.,Public
1198,A surgery was performed on the patient.,Public
1199,There was a long file of people at the hospital.,Public
1200,The concerned people came to see their relatives in the hospital.,Public
1201,This table has pointed edges on all sides.,Public
1202,Turtles can live in both water and land.,Public
1203,Don't be such a pig.,Public
1204,The income tax assessor came for a surprise check in the office.,Public
1205,Our agricultural production was good due to good monsoon.,Public
1206,It's a vogue word these days.,Public
1207,The criminals were punished and blinded.,Public
1208,Flowers are flourishing well in those tiny pots.,Public
1209,He has a down at heel appearance.,Public
1210,He soon began to tire of her.,Public
1211,Mothers protect their babies.,Public
1212,"On investigation, his claim proved to be bogus.",Public
1213,He had to face severe criticism from his opponent.,Public
1214,People in this country take active interest in politics.,Public
1215,`That was a wide ball` the umpire said.,Public
1216,These two stories are almost alike.,Public
1217,You don't appreciate the magnitude of her achievement.,Public
1218,He is the famous vintner of the town.,Public
1219,Her whitely face looked beautiful.,Public
1220,"Don't do that again, she said warningly.",Public
1221,People go out in the weekends.,Public
1222,Lights in the theatre were dimmed as the movie began.,Public
1223,Bells are played in morning in the temples.,Public
1224,The tout was illegally selling tickets.,Public
1225,Her tutor teaches her at home.,Public
1226,This movie filled me with wonder.,Public
1227,He was dead by the time they reached home.,Public
1228,The ventilation has been improved by the addition of windows.,Public
1229,My mother bought me a waterproof watch.,Public
1230,The students whispered in the class.,Public
1231,He has good grasp over the English language.,Public
1232,Some birds trill their songs.,Public
1233,Logs of wood are often used in the construction of houses.,Public
1234,Ram received an award of 5000 rupees in the poetry contest.,Public
1235,He manages the shop single handed.,Public
1236,He always welchs on his bets.,Public
1237,Plants help to purify the air.,Public
1238,Some soldiers went on furlough for two weeks.,Public
1239,You don't have to knock-just walk in.,Public
1240,He was crowned for his recent publication.,Public
1241,She collected her belongings and left.,Public
1242,The results of the exam were posted on the notice board.,Public
1243,The symptoms of the disease include abdominal pain and vomiting.,Public
1244,The teacher ordered silence.,Public
1245,Can you open the cork of the bottle.,Public
1246,No one can stop his criminal activities.,Public
1247,The ceremony has great symbolic significance.,Public
1248,"Though he doesn't like flying, but he enjoyed his trip to Italy last year.",Public
1249,His vociferousness irritates almost everyone.,Public
1250,He's a vindictive man.,Public
1251,They're building a new school in the village.,Public
1252,He rented an office in the new building.,Public
1253,The woods are lovely.,Public
1254,The road was empty because of low visibilty due to fog.,Public
1255,Her heart was beating fast.,Public
1256,I miss my sister.,Public
1257,She is spending a happy life after marriage.,Public
1258,Please send me my documents.,Public
1259,I wanted to thank you personally.,Public
1260,An enemy’s mouth seldom speaks well.,Public
1261,They served me a dish of rice.,Public
1262,Store the seeds in a tin.,Public
1263,A triangle is three sided.,Public
1264,The formation of the house was complete today.,Public
1265,They have put up a new defence in the town.,Public
1266,They were attacked for vulgarizing the debate.,Public
1267,This locality is full of criminals.,Public
1268,Can you put out the trash?,Public
1269,He put the tray on the table.,Public
1270,We had a nice evening by drinking some vino.,Public
1271,After finishing the exams he flung the book into air.,Public
1272,We must be optimistic in our life.,Public
1273,The temperature will drop after sunset,Public
1274,They have been delivering good services.,Public
1275,She's high spirited and vivacious.,Public
1276,I don`t like people spoiling my sunday afternoon.,Public
1277,He was claiming vindication yesterday after the results.,Public
1278,He has recently been fired from his job.,Public
1279,The judge asked the lawyer to proceed with the case.,Public
1280,We all surged towards the door.,Public
1281,He published a paper on metaphysical theory.,Public
1282,I verily owe a great deal to her.,Public
1283,She wept because her brother teased her very much.,Public
1284,She is such a bore.,Public
1285,He wanders from place to place.,Public
1286,I am very happy with this offer.,Public
1287,Control has been vested in local authorities,Public
1288,There's no correlation between these two issues.,Public
1289,He was sitting on the river bank for a long time.,Public
1290,The sentences you make should be meaningful.,Public
1291,Smoking cigarette is injurious to health.,Public
1292,The public can view the famous fort.,Public
1293,It is not necessary to go there.,Public
1294,I think she fancies me.,Public
1295,Keep it over the cupboard.,Public
1296,The singers corps were given a warm reception.,Public
1297,Circumstances oblige me to do that.,Public
1298,We need colored chalks for decorating the wall.,Public
1299,He used a scale to weigh the bananas.,Public
1300,The two countries were divided on ethnic lines.,Public
1301,She bought a diamond studded ring.,Public
1302,The creator of this software was praised.,Public
1303,My grandpa was a chemistry professor in University.,Public
1304,Anil graduated from IIT Kanpur.,Public
1305,His remarks were ill-timed.,Public
1306,The scooter skidded because the brakes got locked suddenly.,Public
1307,Fold the blanket double to keep away the cold.,Public
1308,The accident occurred at five o'clock.,Public
1309,Many people were buried alive here when the earthquake hit the area.,Public
1310,He was elected as president of the company..,Public
1311,I need any book from the shelf.,Public
1312,The two buildings stood about 50m apart.,Public
1313,I was sucked into a vortex of despair.,Public
1314,Three people were killed in the crash.,Public
1315,The goons lord over the local residents.,Public
1316,The boy in the park was playing merrily.,Public
1317,There was post for you this morning.,Public
1318,He took charge of the office whilst officer was away.,Public
1319,I need some loose papers.,Public
1320,Damn the rain for pouring in so suddenly.,Public
1321,The Principal welcomed the gathering.,Public
1322,Ingenuity does not guarantee success in all endeavors.,Public
1323,She works slowly and precisely.,Public
1324,There was a shortage of manpower in the factory.,Public
1325,The hotel we stayed in was absolutely tip-top.,Public
1326,The affair could tarnish the reputation of the prime minister.,Public
1327,"Whichever they choose, we must accept their decision.",Public
1328,She gave her daughter a gold coin.,Public
1329,Excessive tiredness while driving can kill.,Public
1330,He suspected she was taunting him.,Public
1331,Cricket is the most renowned sport in India.,Public
1332,They were persuaded to sign a waiver of claims against the landlord.,Public
1333,We live on the fourth floor.,Public
1334,She played a really nasty trick on me.,Public
1335,The girls exchanged their bags.,Public
1336,We stayed in a swanky hotel.,Public
1337,He has a visual impairment in the right eye.,Public
1338,I'm not prepared to toady to him just to save my job.,Public
1339,The sound of guns being fired fills me with terror.,Public
1340,Add sugar to the tea when it comes to boil.,Public
1341,They're nothing but a bunch of warmongers.,Public
1342,It dawned on him that she had betrayed him.,Public
1343,The congressman will deliver his speech tomorrow.,Public
1344,I do like that beautiful kitten.,Public
1345,The fire caused extensive damage.,Public
1346,I will wipe my hands first.,Public
1347,The new professor is too free in her attitude.,Public
1348,We will strive tirelessly to achieve it.,Public
1349,He is presently posted as India`s Ambassador in China.,Public
1350,The broadcasting station is located away from the city.,Public
1351,He likes singing traditional songs.,Public
1352,I find his ideas absurd.,Public
1353,Tomorrow is her twentieth birthday.,Public
1354,Gifts are always welcomed by children.,Public
1355,Many people these days have become victims of amnesia.,Public
1356,He became the victim of a virulent infection.,Public
1357,Her uncle agreed to pay part of her tuition.,Public
1358,A flock of birds took flight at once.,Public
1359,She didn`t want to answer his question.,Public
1360,I have to return within a day.,Public
1361,He agreed to waive his fee.,Public
1362,You can go through the opening space of the fence.,Public
1363,"Now a days, there is a trend to mechanise everything.",Public
1364,I want another piece of cake.,Public
1365,The media made an extensive coverage of the incident.,Public
1366,The composer of this popular song is a young man.,Public
1367,He has a distinctive style of reciting poetry.,Public
1368,We have to find a proper place to beach the boat.,Public
1369,Please fill in the blanks on the paper.,Public
1370,Don't be such a weakling!,Public
1371,I was not bothered about the consequences.,Public
1372,I have to load the software.,Public
1373,He is hammering piles into the ground.,Public
1374,Her dress had beautiful fringes.,Public
1375,Do I require a visa?,Public
1376,He was weeping because he had pain in his leg.,Public
1377,We bought glass bulbs for Diwali.,Public
1378,I will take away his purse.,Public
1379,He was pleased with his victory.,Public
1380,She fainted when she heard the terrible news.,Public
1381,He was the virtual leader of the movement.,Public
1382,The bullet pierced his hand.,Public
1383,Did you send up my application?,Public
1384,Our house faces west.,Public
1385,Riots cause harm to general public.,Public
1386,I don't like onions.,Public
1387,This road is so even.,Public
1388,They are moving in a vortex.,Public
1389,He has not got remuneration yet.,Public
1390,India has a democratic system of governance.,Public
1391,The tiara was set with diamonds and pearls.,Public
1392,I`m always yours.,Public
1393,It is not cool to arrive at a party too early.,Public
1394,His vernacular style is liked by everyone.,Public
1395,The truth was so painful.,Public
1396,We reacted at his expulsion.,Public
1397,I have to go to the airport to recieve my sister.,Public
1398,The salt is in the vial.,Public
1399,I will tell the result by telegraph.,Public
1400,"Actually, they were raising money for a political war.",Public
1401,My brother lives in the flat above ours.,Public
1402,The density of population is quite high in Kerela.,Public
1403,The new house is ready for occupation.,Public
1404,Geyser is a convenient apparatus for heating water in a short period of time.,Public
1405,He always keeps on crowing about his success.,Public
1406,The cry of the baby awakened her.,Public
1407,Some plants are able to live in water logged soil.,Public
1408,Our football coach trains the team.,Public
1409,The decision was made purely for financial dealings.,Public
1410,I could not avoid hitting the car.,Public
1411,They left this house ten years ago.,Public
1412,There is rampant corruption in government offices.,Public
1413,They were in the grip of cricket fever.,Public
1414,This place is reserved for the storage of explosives.,Public
1415,She could no longer hold back her laughter.,Public
1416,You should not have any objection to this wise plan.,Public
1417,The road winds towards the mountain.,Public
1418,Please get two bundles of cord.,Public
1419,She was twirling her key chain.,Public
1420,He met with a car accident.,Public
1421,She has an attractive personality.,Public
1422,Put the other end of the wire through the loop.,Public
1423,Do not neglect your duties.,Public
1424,He resigned of his own volition.,Public
1425,I will deposit my money in the bank.,Public
1426,This is pure water.,Public
1427,There are many flies in this room.,Public
1428,His birth proved to be a good omen.,Public
1429,She surprised him when she arrived early.,Public
1430,I abhor to tell lies.,Public
1431,There were variety of dresses.,Public
1432,The members were honoured by the august presence of the poet.,Public
1433,He is wandering around in a terrace,Public
1434,The main frame of the aircraft is ready.,Public
1435,She wrote something to summarize her idea.,Public
1436,There is a school in the vicinity.,Public
1437,The captain's voice was triumphant.,Public
1438,Can you water the plants?,Public
1439,We bought tickets for the magic show in advance.,Public
1440,You should find a means to reach there.,Public
1441,Our vehicles are responsible for polluting our environment.,Public
1442,Smoking vitiates the air.,Public
1443,He was wearing a beautiful mantle.,Public
1444,We'll be home at about 11:00.,Public
1445,The colour of snow is white.,Public
1446,The school will complete the work of building soon.,Public
1447,We travelled in a westerly direction.,Public
1448,He's a French national working in Italy.,Public
1449,His legs were weak.,Public
1450,The program will be concluded in the next week.,Public
1451,The murderer had left no clue.,Public
1452,He volunteered to help the needy.,Public
1453,He loaned me some money.,Public
1454,His whisper turned to a roar.,Public
1455,This is a class of animals which have weak legs.,Public
1456,The judge allowed her claim.,Public
1457,Her greatest dread was that she would lose her job.,Public
1458,He is battling with his life in the hospital.,Public
1459,The tale was written in verse.,Public
1460,She overcame the grief by engaging herself in work.,Public
1461,I don't know the object of the meeting.,Public
1462,It will take her ages to get over the tragedy.,Public
1463,It's not an easy task to learn.,Public
1464,Modern age is the age of technology.,Public
1465,He was able to locate his relatives through the instrumentality of the police.,Public
1466,Animals are usually afraid of fire.,Public
1467,Your handwriting is worse than mine.,Public
1468,They went on a trip a few days ago.,Public
1469,Everybody dislikes his abrupt manners.,Public
1470,The teacher has assigned each of us a part in the drama.,Public
1471,He drank three glasses of water after the lunch.,Public
1472,This news came as a shock to us.,Public
